hour_close_utc,seconds_in_entry_window,geometry_seconds_width_100_300,geometry_seconds_midpoint_ok,geometry_seconds_full_guardrails,had_any_full_guardrails,best_entry_cost_cents,best_entry_width_usd,best_entry_direction,best_entry_spot,chunk
2026-04-01T01:00:00Z,901,622,271,62,True,50.0,300.0,polymarket_low__kalshi_high,68143.75,chunk_001_084
2026-04-01T02:00:00Z,901,667,601,0,False,,,,,chunk_001_084
2026-04-01T03:00:00Z,901,659,115,75,True,40.0,300.0,polymarket_low__kalshi_high,67742.51,chunk_001_084
2026-04-01T04:00:00Z,901,787,174,0,False,,,,,chunk_001_084
2026-04-01T05:00:00Z,901,646,26,0,False,,,,,chunk_001_084
2026-04-01T17:00:00Z,901,141,0,0,False,,,,,chunk_085_168
2026-04-01T18:00:00Z,901,356,151,126,True,42.0,300.0,polymarket_low__kalshi_high,68732.44,chunk_085_168
2026-04-01T19:00:00Z,901,794,493,0,False,,,,,chunk_085_168
2026-04-01T20:00:00Z,901,25,0,0,False,,,,,chunk_085_168
2026-04-01T21:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-01T22:00:00Z,901,298,0,0,False,,,,,chunk_085_168
2026-04-01T23:00:00Z,901,649,8,0,False,,,,,chunk_085_168
2026-04-02T00:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-02T01:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-02T02:00:00Z,901,404,194,0,False,,,,,chunk_085_168
2026-04-02T03:00:00Z,901,712,371,0,False,,,,,chunk_085_168
2026-04-02T04:00:00Z,901,556,73,0,False,,,,,chunk_085_168
2026-04-02T05:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-02T10:00:00Z,901,770,325,20,True,40.0,300.0,polymarket_low__kalshi_high,66370.79,chunk_085_168
2026-04-02T11:00:00Z,901,211,0,0,False,,,,,chunk_085_168
2026-04-02T12:00:00Z,901,170,0,0,False,,,,,chunk_085_168
2026-04-02T13:00:00Z,901,665,289,0,False,,,,,chunk_085_168
2026-04-02T14:00:00Z,901,674,14,0,False,,,,,chunk_085_168
2026-04-02T15:00:00Z,901,658,408,0,False,,,,,chunk_085_168
2026-04-02T16:00:00Z,901,198,0,0,False,,,,,chunk_085_168
2026-04-02T17:00:00Z,901,344,0,0,False,,,,,chunk_085_168
2026-04-02T18:00:00Z,901,550,296,0,False,,,,,chunk_085_168
2026-04-02T19:00:00Z,901,564,447,0,False,,,,,chunk_085_168
2026-04-02T20:00:00Z,901,861,279,0,False,,,,,chunk_085_168
2026-04-02T21:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-02T22:00:00Z,901,342,66,0,False,,,,,chunk_085_168
2026-04-02T23:00:00Z,901,728,0,0,False,,,,,chunk_085_168
2026-04-03T00:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T01:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T02:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T03:00:00Z,901,336,0,0,False,,,,,chunk_085_168
